Vehicle ,RAM,storage,Trustfactor,Distance,TransmissionRate,Eligible
1,51.8125,34.83125,91,88,77.77777778,68.68430556
2,91.0625,18.09375,87,24.9,70.37037037,58.28532407
3,84.2875,92.6,15,30.4,40.74074074,52.60564815
4,45.175,76.64375,25,84.9,66.66666667,59.67708333
5,63.8625,19.33125,66,78,85.18518519,62.47578704
6,80.0875,73.94375,17,95.3,88.88888889,71.04402778
7,90.1875,11.2375,13,28.4,74.07407407,43.37981481
8,53.0375,68.925,44,89.3,22.22222222,55.49694444
9,68.075,48.65625,64,60.8,70.37037037,62.38032407
10,53.7375,22.925,17,59,100,50.5325
11,73.1625,14.06875,79,26.8,40.74074074,46.75439815
12,32.775,81.00625,20,54.1,59.25925926,49.42810185
13,31.775,53.31875,78,94.6,37.03703704,58.94615741
14,63.375,20.7125,17,77.3,11.11111111,37.89972222
15,13.775,47.25625,18,85.5,55.55555556,44.01736111
16,53.625,21.9375,68,91.2,96.2962963,66.21175926
17,69.05,76.05,13,7.6,51.85185185,43.51037037
18,18.775,11.0125,39,89.5,51.85185185,42.02787037
19,47.2125,78.73125,25,65.5,81.48148148,59.5850463
20,93.1375,70.53125,15,58.4,18.51851852,51.1174537
21,93.175,10.0375,39,51.5,59.25925926,50.59435185
22,50.575,87.275,11,69.7,22.22222222,48.15444444
23,23.85,30.6875,75,98.1,11.11111111,47.74972222
24,28.5375,15.7,13,36.6,77.77777778,34.32305556
25,19.675,67.1,35,9.7,59.25925926,38.14685185
26,38.275,9.825,40,44.9,59.25925926,38.45185185
27,42.625,96.26875,95,59.9,100,78.75875
28,87.175,45.35,20,47.7,48.14814815,49.67462963
29,63.0375,12.9875,94,72.3,96.2962963,67.72425926
30,96.1875,49.10625,98,4.4,74.07407407,64.35356481
31,18.1375,9.90625,89,20.1,11.11111111,29.65097222
32,84.9,30.85,95,70.2,88.88888889,73.96777778
33,13.15,81.69375,48,68.1,22.22222222,46.63319444
34,43.75,31.7125,33,40.7,40.74074074,37.98064815
35,53.95,57.19375,43,49.9,11.11111111,43.03097222
36,66.725,51.15625,58,24.7,14.81481481,43.07921296
37,44.425,50.71875,37,45.6,96.2962963,54.80800926
38,57.975,53.9,39,48.3,37.03703704,47.24240741
39,80.8125,81.8375,63,66.4,62.96296296,71.00259259
40,13.6375,47.6375,20,21.6,29.62962963,26.50092593
41,28.4375,57.3875,85,36.2,100,61.405
42,32.7875,41.2375,40,57.4,62.96296296,46.87759259
43,98.625,96.55,90,5.5,51.85185185,68.50537037
44,57.3,43.24375,100,83.1,66.66666667,70.06208333
45,87.0375,63.4125,70,16.2,11.11111111,49.55222222
46,53.65,22.35,91,72.2,96.2962963,67.09925926
47,16.125,91.71875,34,56.6,70.37037037,53.76282407
48,94.4125,18.625,57,68.3,77.77777778,63.22305556
49,99.95,93.84375,69,54.9,11.11111111,65.76097222
50,25.3625,19.6375,72,97.5,40.74074074,51.04814815
51,69.5125,14.1,92,45.5,33.33333333,50.88916667
52,57.8,79.5625,19,83.1,59.25925926,59.74435185
53,21.475,88.65625,34,2.9,14.81481481,32.36921296
54,17.8125,49.35625,94,39.1,51.85185185,50.42412037
55,17.325,18.775,28,25.5,48.14814815,27.54962963
